discipline_id,discipline_name
0,Archery
1,Artistic Gymnastics
2,Artistic Swimming
3,Athletics
4,Badminton
5,Boxing
6,Canoe Slalom
7,Canoe Sprint
8,Cycling BMX Freestyle
9,Cycling BMX Racing
10,Cycling Mountain Bike
11,Cycling Road
12,Cycling Track
13,Diving
14,Equestrian
15,Fencing
16,Golf
17,Hockey
18,Judo
19,Karate
20,Marathon Swimming
21,Modern Pentathlon
22,Rhythmic Gymnastics
23,Rowing
24,Rugby Sevens
25,Sailing
26,Shooting
27,Skateboarding
28,Sport Climbing
29,Surfing
30,Swimming
31,Table Tennis
32,Taekwondo
33,Tennis
34,Trampoline Gymnastics
35,Triathlon
36,Water Polo
37,Weightlifting
38,Wrestling
